Agency Name,Murder,Rape,Robbery,Aggravated Assault,Burglary,Theft,Motor Vehicle Theft,Year,Month,State,Type
Apex,0,1,1,1,0,16,0,2025,2,NC,City
Apex,0,0,0,1,2,43,4,2025,3,NC,City
Apex,1,2,0,3,8,46,2,2025,4,NC,City
Apex,0,1,0,3,3,60,1,2025,5,NC,City
Apex,0,0,0,2,4,65,4,2025,6,NC,City
Apex,0,0,1,2,6,49,3,2025,7,NC,City
Apex,0,0,0,6,3,50,10,2025,8,NC,City
Apex,0,0,0,1,2,41,0,2025,9,NC,City
Apex,0,0,0,4,3,44,3,2025,10,NC,City
Apex,0,0,0,2,2,35,3,2025,11,NC,City
Apex,0,1,1,3,5,36,1,2025,12,NC,City
Apex,0,2,0,2,4,35,1,2026,1,NC,City
Apex,0,1,0,0,4,21,1,2026,2,NC,City
Asheville,0,6,7,50,41,250,26,2025,2,NC,City
Asheville,0,4,3,30,48,258,26,2025,3,NC,City
Asheville,0,3,9,45,45,277,19,2025,4,NC,City
Asheville,0,5,5,43,34,319,24,2025,5,NC,City
Asheville,0,4,10,60,44,299,39,2025,6,NC,City
Asheville,0,5,9,62,61,299,30,2025,7,NC,City
Asheville,0,8,10,50,61,290,33,2025,8,NC,City
Asheville,1,5,5,61,58,257,23,2025,9,NC,City
Asheville,0,10,9,40,55,316,28,2025,10,NC,City
Asheville,1,1,10,51,62,257,24,2025,11,NC,City
Asheville,1,4,8,37,48,242,32,2025,12,NC,City
Asheville,0,3,3,47,40,208,11,2026,1,NC,City
Buncombe,0,3,2,16,31,63,10,2025,2,NC,County
Buncombe,0,0,0,19,15,68,14,2025,3,NC,County
Buncombe,0,0,0,20,17,77,8,2025,4,NC,County
Buncombe,0,1,2,17,20,53,14,2025,5,NC,County
Buncombe,0,2,0,13,15,58,14,2025,6,NC,County
Buncombe,1,0,2,13,26,53,18,2025,7,NC,County
Buncombe,1,1,1,16,27,72,16,2025,8,NC,County
Buncombe,0,2,3,15,26,72,17,2025,9,NC,County
Buncombe,2,2,1,16,18,75,11,2025,10,NC,County
Buncombe,0,1,2,12,15,47,6,2025,11,NC,County
Buncombe,1,0,0,21,22,69,5,2025,12,NC,County
Buncombe,0,1,1,11,12,45,6,2026,1,NC,County
Buncombe,0,1,0,0,0,1,0,2026,2,NC,County
Burlington,2,2,1,23,14,81,16,2025,2,NC,City
Burlington,1,9,4,26,16,98,13,2025,3,NC,City
Burlington,0,8,3,23,28,104,10,2025,4,NC,City
Burlington,0,2,6,9,20,105,8,2025,5,NC,City
Burlington,0,6,5,28,20,97,15,2025,6,NC,City
Burlington,0,3,2,16,28,76,9,2025,7,NC,City
